Start word | Translate | Number of Mentions
это | This | 6
€ | I | 6
на | on | 5
минута | minute | 4
уже | already | 3
тест | test | 3
7 | 7 | 3
ждать | wait | 2
всЄ | All | 2
- | None | 2
так | So | 2
запускать | launch | 2
медленно | slowly | 2
ты | You | 2
запуск | launch | 2
далЄкий | far | 2
и | And | 2
грузитьс€ | load up | 1
кружочек | circle | 1
она | she | 1
ещЄ | more | 1
считает, | thinks, | 1
п€тый | fifth | 1
пойти | go | 1
господь | Lord | 1
бедный | poor | 1
пайтон | python | 1
седьмой | seventh | 1
тыс€ча | thousand | 1
секунда | second | 1
около | around | 1
семнадцать | seventeen | 1
обнадЄживать | to encourage | 1
таск-менеджер | task manager | 1
нагрузка | load | 1
смотреть | look | 1
нормально | Fine | 1
как-то | somehow | 1
генерацию, | generation, | 1
точнее | more precisely | 1
поиск | search | 1
магический | magical | 1
квадратов... | squares... | 1
пон€ть | understand | 1
как | How | 1
(интерпретировать | (interpret | 1
€зыки) | languages) | 1
работать | work | 1
да | yes | 1
пророкЕ | prophetЕ | 1
легко | light | 1
пророчитьс€ | prophesy | 1
спр€татьс€ | hide | 1
далее | further | 1
100 | 100 | 1
операци€ | operation | 1
уходить | leave | 1
много | very | 1
врем€ | time | 1
видимо | apparently | 1
но | But | 1
интересно | Interesting | 1
иметь | have | 1
ввиду | in view of | 1
передача | transfer | 1
изначальный | original | 1
переменный | variable | 1
функци€ | function | 1
близкий | close | 1
к | To | 1
истине... | truths... | 1
обратить | turn | 1
внимание | attention | 1
ну | Well | 1
что | What | 1
думать | think | 1
запустить | launch | 1
миллиард | billion | 1
итераци€ | iteration | 1
8 | 8 | 1
ставить | put | 1
мен€ть | change | 1
ставку, | bet, | 1
дес€ть | ten | 1
четь | something | 1
очень | Very | 1
амбициозно, | ambitiously, | 1
согласный | consonant | 1
